type	name	pathway	substrate_scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
P450	CYP72A67	triterpenoid	β-amyrin	2β-hydroxylase	Q2MJ21		26079384		
P450	CYP72A68	triterpenoid	β-amyrin	23-oxidase	Q2MJ19		31144047		
P450	CYP72A68v2	triterpenoid	β-amyrin	23-oxidase	H1A985		23378447		
P450	CYP72A69|Sg-5	triterpenoid	β-amyrin	21β-hydroxylase	I1MIY0		27775214		
P450	GmaxCYP72A141	triterpenoid	β-amyrin	29-hydroxylase	A0A5P8TY68		31850023		
P450	CYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-oxidase	H1A988		22128119,31850023		
P450	GgCYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-hydroxylase	A0A5P8TXJ1		31850023		
P450	GpCYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-hydroxylase	A0A5P8TXI9		31850023		
P450	CYP72A302	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	V7AM57		31850023		
P450	CYP72A397	triterpenoid	β-amyrin	23-hydroxylase	A0A0S2IHL2		29186583		
P450	CYP72A475|Sad6	triterpenoid	β-amyrin	21β-hydroxylase		AYG99326.1	30294977		
P450	CYP72A552	triterpenoid	β-amyrin	23-oxidase	A0A481NR20		30661245		
P450	CYP72A557	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	A0A5P8TXK0		31850023		
P450	CYP72A558	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	A0A5P8TXX1		31850023		
P450	CYP72A559	triterpenoid	β-amyrin	21-hydroxylase	A0A5P8TXY6		31850023		
P450	CYP72A560	triterpenoid	β-amyrin	21-hydroxylase	A0A5P8TXP5		31850023		
P450	CYP72A566	triterpenoid	β-amyrin	22β-hydroxylase	A0A2Z6BDG2		29648666		
P450	CYP72A613	steroid		26-hydroxylase	A0A517FNC9		31324795		
P450	CYP72A616	steroid		26-hydroxylase	A0A517FNC4		31324795		
P450	CYP72A654|SOAP4	triterpenoid	β-amyrin	23-oxidase	A0A9R0JSM8		32424305		
P450	CYP72A655|SOAP3	triterpenoid	β-amyrin	2β-hydroxylase		KNA16860.1	32424305		
P450	CYP72A694	triterpenoid	β-amyrin	29-oxidase	A0A5P8TXJ3		31850023		
P450	CYP72A697	triterpenoid	β-amyrin	29-hydroxylase	A0A5P8TXS9		31850023		
P450	CYP72A699	triterpenoid	β-amyrin	21-hydroxylase|29-oxidase	A0A5P8TXT7		31850023		
P450	CYP81Q58|Csa6G088160	triterpenoid	cucurbitadienol	25-hydroxylase	A0A097IYP1		25430763		
